,Type,Year,Season,Precip_Change,Temp_Change
0,1,2000,Summer,85.54407470636977,1.7942048318373658
1,1,2000,Winter,-178.9730039069476,31.062729895582514
2,1,2005,Summer,-50.166104310430406,2.770767160873584
3,1,2005,Winter,-184.0930305405919,3.3538302361865027
4,1,2010,Summer,40.430365352737155,4.921995438969946
5,1,2010,Winter,-150.1230842258934,8.27510975687984
6,1,2015,Summer,104.18407430527164,3.0823105345577604
7,1,2015,Winter,-271.563810198798,13.362647369621415
8,1,2020,Summer,-28.655630110818628,2.0504235671854296
9,1,2020,Winter,82.81508770546002,3.989072820026682
10,2,2000,Summer,51.344664229875995,2.525223216923162
11,2,2000,Winter,-359.6383577052209,-48.14098201576943
12,2,2005,Summer,-47.488220353243996,3.173260905669839
13,2,2005,Winter,-3.0588206159823264,3.5384797167238933
14,2,2010,Summer,-55.37991246932111,3.5332298328815503
15,2,2010,Winter,316.53311231863665,7.46497210872773
16,2,2015,Summer,42.6201034513064,5.585374456976353
17,2,2015,Winter,-258.8910655239479,9.906244491878049
18,2,2020,Summer,11.893756730371406,2.8148197945670184
19,2,2020,Winter,49.06933177543337,6.280471036326183
20,3,2000,Summer,31.933366848589813,1.2872414390391669
21,3,2000,Winter,21.72165103363042,12.912441607812687
22,3,2005,Summer,66.9569578122126,1.1265068097144948
23,3,2005,Winter,-41.219122984567456,2.863621300071443
24,3,2010,Summer,-22.676876938928764,6.374695937717362
25,3,2010,Winter,47.997356658634686,9.871802910683158
26,3,2015,Summer,57.40798923028642,2.8894822668674105
27,3,2015,Winter,109.7895915857388,12.756016125496355
28,3,2020,Summer,162.68342462258963,0.8922645361639855
29,3,2020,Winter,243.70407550234012,1.2824242412811573
30,4,2000,Summer,64.36283981713073,1.552052388925406
31,4,2000,Winter,-1338.3006195002706,20.775177724857286
32,4,2005,Summer,257.5204250237735,1.2972418885746557
33,4,2005,Winter,301.05016318022473,3.4518641093302063
34,4,2010,Summer,55.066520877259165,5.446753038598319
35,4,2010,Winter,-666.3496517638042,8.923328553619983
36,4,2015,Summer,112.68653812125288,2.2000629325231738
37,4,2015,Winter,88.48394443643728,12.376728432798732
38,4,2020,Summer,0.06858179346818029,1.0832882100431949
39,4,2020,Winter,17.288954516467292,2.0637876930389814
40,5,2000,Summer,51.875537433082854,1.54383019657249
41,5,2000,Winter,66.47625618141367,27.78910098283671
42,5,2005,Summer,-961.0046597538296,2.7058949264578764
43,5,2005,Winter,1.5701518847060114,4.450693969657158
44,5,2010,Summer,899.5012035012494,4.7170978165942845
45,5,2010,Winter,-138.66325186144147,10.740693526592915
46,5,2015,Summer,76.73630364731125,2.339336564803627
47,5,2015,Winter,114.9873807179155,15.122456606996233
48,5,2020,Summer,-30.64574043904857,1.505696821838391
49,5,2020,Winter,-7.934274095939798,3.991517094207623
50,6,2000,Summer,58.529915287098255,1.651228527904883
51,6,2000,Winter,-186.64802547124663,57.48907425260779
52,6,2005,Summer,-10.497338397426748,2.1069726847004615
53,6,2005,Winter,-223.21926676484986,5.154637085765435
54,6,2010,Summer,21.354056071766756,5.138676337953622
55,6,2010,Winter,-294.7956644975025,7.478433849727586
56,6,2015,Summer,34.669236200837304,4.044133798222571
57,6,2015,Winter,149.17265461157226,-17.4159038957913
58,6,2020,Summer,-374.21018102865065,1.6714548729135252
59,6,2020,Winter,44.49550486532178,6.1475744572173205
60,7,2000,Summer,93.52912010246624,2.361108226849651
61,7,2000,Winter,5.464550131026945,10.663168451574986
62,7,2005,Summer,33.919964169587324,3.642819870088619
63,7,2005,Winter,295.60365121051245,2.8826276319735413
64,7,2010,Summer,360.45990768122067,5.813848949414581
65,7,2010,Winter,-90.57994146818022,6.368022711786328
66,7,2015,Summer,175.41991013369704,3.7681998452405137
67,7,2015,Winter,-59.92557576567114,14.022598729278538
68,7,2020,Summer,-34.65332649571941,3.9431516961464883
69,7,2020,Winter,1860.7444538319114,5.180541825434053
70,8,2000,Summer,-31.200663184799044,1.9124791398941625
71,8,2000,Winter,-209.51643654539635,23.279223723327448
72,8,2005,Summer,-30.625548944849967,1.7338973057134126
73,8,2005,Winter,-1761.098867369153,2.9828120604841164
74,8,2010,Summer,-583.3682380156014,3.6991642491801713
75,8,2010,Winter,-54.382338371862595,6.41775043990181
76,8,2015,Summer,231.9455662920017,3.3984053659421125
77,8,2015,Winter,-962.8104563639266,5.659747033188777
78,8,2020,Summer,16.99228518996809,2.8929539320720385
79,8,2020,Winter,-117.92251047963249,3.475002797430223
80,9,2000,Summer,-21.866165887267172,2.980707319599022
81,9,2000,Winter,38.98705191847816,18.60839457800451
82,9,2005,Summer,109.74233405416881,3.259184465660822
83,9,2005,Winter,94.97748688547026,-21.996863410825107
84,9,2010,Summer,58.412716435881386,1.6981782226767004
85,9,2010,Winter,-72.73509577406656,9.46698157633042
86,9,2015,Summer,-30.174973407852914,4.413717453256504
87,9,2015,Winter,-19.762903891804292,5.466076027073989
88,9,2020,Summer,672.2066639154344,4.006698807576617
89,9,2020,Winter,306.91088802931205,44.68913175329142
90,10,2000,Summer,1180.0680798123885,1.4250187925239333
91,10,2000,Winter,-155.5628927110428,91.89635357482683
92,10,2005,Summer,-81.60835445798122,3.917945216404525
93,10,2005,Winter,-9.111470167203809,5.379838064850877
94,10,2010,Summer,107.88171379423044,2.8932281418509964
95,10,2010,Winter,-55.20892395855731,8.539227796574377
96,10,2015,Summer,82.1239091095978,1.4908632178490684
97,10,2015,Winter,-161.7248466163459,15.262470495288593
98,10,2020,Summer,82.24297335576225,3.18804430126895
99,10,2020,Winter,479.3510731921022,7.765123929410702
100,11,2000,Summer,55.413328082168945,2.030015417134917
101,11,2000,Winter,56.41985585835879,36.13960588091401
102,11,2005,Summer,115.77915242866253,3.180412806294836
103,11,2005,Winter,36.42248217193537,3.976920620347368
104,11,2010,Summer,-26.403504505371735,4.106847785076123
105,11,2010,Winter,-3.2819862975613283,8.017059779967385
106,11,2015,Summer,62.84647202016495,3.3572095184330712
107,11,2015,Winter,-279.8599633512203,13.634009449720425
108,11,2020,Summer,144.03163537189832,2.645519201281746
109,11,2020,Winter,-2.241969963717276,6.107995419842387
110,12,2000,Summer,-286.96299063868884,3.58238172615639
111,12,2000,Winter,-164.79939679227303,4.9343125854963565
112,12,2005,Summer,218.11781905022343,3.4233523465743176
113,12,2005,Winter,33.41353492347115,3.2068473245790607
114,12,2010,Summer,217.5132388988833,1.4172580000931032
115,12,2010,Winter,-158.03923001914018,9.283357146866527
116,12,2015,Summer,-161.26218634086482,8.511870693787591
117,12,2015,Winter,69.22130252914101,1.5357679219028104
118,12,2020,Summer,-595.7713357815214,1.2430292801231466
119,12,2020,Winter,-393.3087180143428,2.4692371351349935
120,13,2000,Summer,348.6238448746519,1.5964741402425544
121,13,2000,Winter,61.630101159877626,-0.04163491624223158
122,13,2005,Summer,170.0271333842332,1.8116807654604432
123,13,2005,Winter,-132.34461846422155,4.32136187813431
124,13,2010,Summer,224.0211222124477,1.434298256069731
125,13,2010,Winter,-261.7510836307463,6.7590879952850225
126,13,2015,Summer,-210.34447970089684,2.1235199933694267
127,13,2015,Winter,-97.52417941983026,10.394224690503597
128,13,2020,Summer,-40.228917731408245,4.113268139412824
129,13,2020,Winter,-39.09723436230928,11.713805204177566
130,14,2000,Summer,-12.934067514868778,2.39778769978846
131,14,2000,Winter,70.87093039921754,23.604225519837033
132,14,2005,Summer,-67.34405172603253,2.831534482454346
133,14,2005,Winter,23.158866513306748,3.1895170717229813
134,14,2010,Summer,163.1303648497114,4.788293752911426
135,14,2010,Winter,1060.7010483875479,6.165707984546807
136,14,2015,Summer,-504.6921434621024,3.683209863046974
137,14,2015,Winter,-60.03430273000807,11.67900424152262
138,14,2020,Summer,119.35535029806908,3.2933602975685994
139,14,2020,Winter,-56.235104230947535,4.981018771876411
140,15,2000,Summer,61.424020920809006,1.4168040700401832
141,15,2000,Winter,40.9502626124303,32.33728890631299
142,15,2005,Summer,71.4112310527122,5.286759789886913
143,15,2005,Winter,-92.82019544938429,5.5305728507319385
144,15,2010,Summer,26.77481819755963,4.282338452590444
145,15,2010,Winter,-96.18624072209592,9.471169295384694
146,15,2015,Summer,319.4862800058495,1.469336522751049
147,15,2015,Winter,636.9537035081742,18.334247097248408
148,15,2020,Summer,-157.18323402418739,2.601216110577198
149,15,2020,Winter,90.1263355381143,6.218438150932855
